"last_name, first_name","player_id","oaa","n_fieldout_5stars","n_opp_5stars","n_5star_percent","n_fieldout_4stars","n_opp_4stars","n_4star_percent","n_fieldout_3stars","n_opp_3stars","n_3star_percent","n_fieldout_2stars","n_opp_2stars","n_2star_percent","n_fieldout_1stars","n_opp_1stars","n_1star_percent"
"Young, Jacob",696285,"20","6","18","33.3","14","19","73.7","15","16","93.8","22","25","88.0","26","26","100.0"
"Varsho, Daulton",662139,"16","3","21","14.3","6","11","54.5","18","22","81.8","22","23","95.7","37","37","100.0"
"Siri, Jose",642350,"16","4","9","44.4","9","16","56.3","22","26","84.6","19","20","95.0","22","24","91.7"
"Doyle, Brenton",686668,"16","0","19","0.0","7","14","50.0","25","28","89.3","29","31","93.5","41","41","100.0"
"Siani, Michael",672279,"16","4","16","25.0","5","5","100.0","16","18","88.9","18","18","100.0","24","24","100.0"
"Meyers, Jake",676694,"14","1","12","8.3","6","11","54.5","14","16","87.5","20","20","100.0","30","30","100.0"
"Crow-Armstrong, Pete",691718,"14","7","14","50.0","5","10","50.0","17","21","81.0","23","24","95.8","19","21","90.5"
"Kiermaier, Kevin",595281,"12","1","10","10.0","8","10","80.0","12","13","92.3","21","22","95.5","19","20","95.0"
"Merrill, Jackson",701538,"12","1","18","5.6","9","13","69.2","11","14","78.6","20","21","95.2","41","42","97.6"
"Taylor, Michael A.",572191,"11","2","11","18.2","1","2","50.0","15","17","88.2","12","12","100.0","22","22","100.0"
"Duran, Jarren",680776,"11","1","17","5.9","6","8","75.0","18","23","78.3","22","25","88.0","34","34","100.0"
"Cowser, Colton",681297,"11","3","18","16.7","7","11","63.6","6","10","60.0","21","22","95.5","27","27","100.0"
"Perkins, Blake",663368,"11","0","9","0.0","5","11","45.5","14","15","93.3","19","20","95.0","27","27","100.0"
"Bader, Harrison",664056,"10","1","10","10.0","7","12","58.3","11","13","84.6","25","26","96.2","20","20","100.0"
"Isbel, Kyle",664728,"10","4","23","17.4","9","17","52.9","6","10","60.0","24","25","96.0","26","27","96.3"
"DeLuca, Jonny",676356,"8","0","9","0.0","3","4","75.0","8","10","80.0","18","18","100.0","20","20","100.0"
"Harris II, Michael",671739,"8","3","11","27.3","4","6","66.7","10","11","90.9","26","29","89.7","14","15","93.3"
"Carroll, Corbin",682998,"8","1","25","4.0","11","23","47.8","15","20","75.0","24","27","88.9","27","29","93.1"
"Rojas, Johan",679032,"8","5","17","29.4","7","9","77.8","12","16","75.0","11","13","84.6","15","16","93.8"
"Frelick, Sal",686217,"7","0","10","0.0","3","9","33.3","22","26","84.6","18","21","85.7","23","23","100.0"
"Rodríguez, Julio",677594,"7","4","18","22.2","2","11","18.2","15","18","83.3","23","25","92.0","18","18","100.0"
"Meadows, Parker",678009,"7","3","9","33.3","4","7","57.1","5","6","83.3","17","18","94.4","15","15","100.0"
"Abreu, Wilyer",677800,"7","0","15","0.0","8","10","80.0","9","13","69.2","16","17","94.1","18","19","94.7"
"McCarthy, Jake",664983,"6","2","22","9.1","3","13","23.1","7","9","77.8","24","24","100.0","15","15","100.0"
"Taylor, Tyrone",621438,"6","3","14","21.4","2","4","50.0","12","18","66.7","19","20","95.0","19","20","95.0"
"McCormick, Chas",676801,"6","0","10","0.0","2","8","25.0","13","13","100.0","11","12","91.7","17","18","94.4"
"Chourio, Jackson",694192,"5","3","24","12.5","4","6","66.7","13","17","76.5","23","28","82.1","26","28","92.9"
"Rafaela, Ceddanne",678882,"5","2","10","20.0","5","6","83.3","9","11","81.8","7","10","70.0","11","11","100.0"
